title,image_link,text
"[""Как ощущения? Расскажите о вашей жизни в период коронавируса: чего вы ожидаете после пандемии и как о себе заботитесь\n                                \n                                                                Как ощущения? Расскажите о вашей жизни в период коронавируса: чего вы ожидаете после пандемии и как о себе заботитесь"", ""https://content.onliner.by/news/1400x5616/967d6f4cc98e6687526e663d6f8b9c86.jpeg"", ""Сложно поверить, но в Беларуси уже наступило второе декабря. В прошлый раз мы проводили наш опрос в мае, и кажется, с того момента мимо протекла целая вечность. Мы пережили первую волну коронавируса, н""]",https://content.onliner.by/news/1400x5616/967d6f4cc98e6687526e663d6f8b9c86.jpeg,"Сложно поверить, но в Беларуси уже наступило второе декабря. В прошлый раз мы проводили наш опрос в мае, и кажется, с того момента мимо протекла целая вечность. Мы пережили первую волну коронавируса, н"
"[""В Минске дорожает проезд: жетон — 80 копеек, талон — 75"", ""'https://content.onliner.by/news/970x485/ced6635453639abc2ee330215d9c10fd.jpeg'"", ""Об этом Мингорисполком сообщает в своем официальном Telegram-канале. Тариф на проезд в городском общественном транспорте увеличится на 10 копеек, до 75 копеек. Стоимость проезда в метро вырастет до 80 ""]",'https://content.onliner.by/news/970x485/ced6635453639abc2ee330215d9c10fd.jpeg',"Об этом Мингорисполком сообщает в своем официальном Telegram-канале. Тариф на проезд в городском общественном транспорте увеличится на 10 копеек, до 75 копеек. Стоимость проезда в метро вырастет до 80 "
"[""В Беларуси будут работать «над предотвращением „утечки мозгов“»"", ""'https://content.onliner.by/news/970x485/8878fe6f307cbd824abbe6a698a9c5f5.jpeg'"", ""Премьер-министр Роман Головченко сегодня в Палате представителей представил программу деятельности правительства до 2025 года. Кроме «переформатирования» пенсионной системы правительство также намерено""]",'https://content.onliner.by/news/970x485/8878fe6f307cbd824abbe6a698a9c5f5.jpeg',Премьер-министр Роман Головченко сегодня в Палате представителей представил программу деятельности правительства до 2025 года. Кроме «переформатирования» пенсионной системы правительство также намерено
"[""Премьер-министр объявил о переформатировании пенсионной системы"", ""'https://content.onliner.by/news/970x485/34376e52f81b296a37b8d8653c5b3db8.jpeg'"", ""В Беларуси предстоит переформатировать пенсионную систему, сообщил премьер-министр Роман Головченко сегодня в Палате представителей, представляя программу деятельности правительства до 2025 года.«Для с""]",'https://content.onliner.by/news/970x485/34376e52f81b296a37b8d8653c5b3db8.jpeg',"В Беларуси предстоит переформатировать пенсионную систему, сообщил премьер-министр Роман Головченко сегодня в Палате представителей, представляя программу деятельности правительства до 2025 года.«Для с"
"[""Хроника вторника. Появилась «Единая книга регистрации преступлений», более 5000 христиан подписали открытое письмо властям"", ""https://content.onliner.by/news/1400x5616/78b003c480075ab54652971d115bad9f.jpeg"", ""Единая книга преступлений заработала в Беларуси. Ее презентовали Светлана Тихановская, глава Народного антикризисного управления Павел Латушко, а также основатель ByPol бывший следователь Андрей Остапо""]",https://content.onliner.by/news/1400x5616/78b003c480075ab54652971d115bad9f.jpeg,"Единая книга преступлений заработала в Беларуси. Ее презентовали Светлана Тихановская, глава Народного антикризисного управления Павел Латушко, а также основатель ByPol бывший следователь Андрей Остапо"
"[""Водитель микроавтобуса в два счета остановил половину Партизанского проспекта. Как он это сделал?"", ""'https://content.onliner.by/news/970x485/547a8fb80cd58a0729f1ddfd638efed3.jpeg'"", ""На большом автомобиле в городе сложно. Сложно развернуться, сложно найти место для парковки, понимание со стороны окружающих отыскать тоже сложно. А вот одно поспешное решение — и уже половина проспект""]",'https://content.onliner.by/news/970x485/547a8fb80cd58a0729f1ddfd638efed3.jpeg',"На большом автомобиле в городе сложно. Сложно развернуться, сложно найти место для парковки, понимание со стороны окружающих отыскать тоже сложно. А вот одно поспешное решение — и уже половина проспект"
"[""«Заехал машину зарядить, а попал в ловушку!», или Воскресенье начинается в субботу"", ""'https://content.onliner.by/news/970x485/0a5e8ca864e7a649b1f153ad632f7234.jpeg'"", ""Минск, пересечение проспектов Машерова и Победителей. Прекрасный вид на парк Победы и музей истории Великой Отечественной войны. На парковку, что расположена на проспекте Машерова недалеко от указанног""]",'https://content.onliner.by/news/970x485/0a5e8ca864e7a649b1f153ad632f7234.jpeg',"Минск, пересечение проспектов Машерова и Победителей. Прекрасный вид на парк Победы и музей истории Великой Отечественной войны. На парковку, что расположена на проспекте Машерова недалеко от указанног"
"[""Кому протесты, кому мать родна. Пока не работал интернет, бордюрщик подвез пассажирку за 53 рубля"", ""'https://content.onliner.by/news/970x485/8bd32a0c9d69da9e6f750c03633697fc.jpeg'"", ""Отключение интернета во время протестов — самые сладкие минутки для минских бордюрщиков. В обычное-то время спрос на них невелик, большинство научено еще бессмертным примером человека по кличке Саша 63""]",'https://content.onliner.by/news/970x485/8bd32a0c9d69da9e6f750c03633697fc.jpeg',"Отключение интернета во время протестов — самые сладкие минутки для минских бордюрщиков. В обычное-то время спрос на них невелик, большинство научено еще бессмертным примером человека по кличке Саша 63"
"[""Момент ДТП с участием силовика и характерного буса попал на видео"", ""'https://content.onliner.by/news/970x485/230e329a398f2d6c5c9f5dac40160041.jpeg'"", ""Сегодня, как обычно по понедельникам, в столице проходит марш пенсионеров. Ранее колонна протестующих двигалась по пр. Независимости. В последние два раза силовики начали уводить ее с центральной магис""]",'https://content.onliner.by/news/970x485/230e329a398f2d6c5c9f5dac40160041.jpeg',"Сегодня, как обычно по понедельникам, в столице проходит марш пенсионеров. Ранее колонна протестующих двигалась по пр. Независимости. В последние два раза силовики начали уводить ее с центральной магис"
"[""Самый хайповый Opel Vectra в Беларуси. Владелец рассказал, зачем сделал такое авто"", ""https://content.onliner.by/news/1400x5616/2dc876d3148cbe190691a0e9b480c777.jpeg"", ""При упоминании модели Opel Vectra В вряд ли у кого-то участится пульс. Ну разве что у какого-нибудь кузовщика. В свое время автомобиль был очень популярным в Беларуси. Да и сегодня старенькие седаны, х""]",https://content.onliner.by/news/1400x5616/2dc876d3148cbe190691a0e9b480c777.jpeg,"При упоминании модели Opel Vectra В вряд ли у кого-то участится пульс. Ну разве что у какого-нибудь кузовщика. В свое время автомобиль был очень популярным в Беларуси. Да и сегодня старенькие седаны, х"
